# samples,smse,msll,nlpd,rmse,mae
13.00000000,1.13793313,-4.08275451,7.45789441,14.77958729,8.12886621
18.00000000,1.13730558,-3.32204439,7.57991789,14.77551139,7.95057404
26.00000000,1.13548560,-2.04681714,7.82507595,14.76368440,7.72740527
34.00000000,1.12327819,-2.32492280,8.05391067,14.68410900,7.53390628
42.00000000,1.11749271,-2.26331541,8.37172647,14.64624470,7.50786594
50.00000000,1.10741109,-1.37682783,8.67354989,14.58002843,7.40691601
58.00000000,1.08703093,-0.04407927,8.81316044,14.44524416,7.38227575
66.00000000,1.07104013,1.02944829,8.77225127,14.33860198,7.27289505
74.00000000,1.14824251,4.06505377,9.14751258,14.84638597,8.56456814
82.00000000,1.12126398,3.12849954,8.23936877,14.67093771,7.48082336
90.00000000,1.14558887,2.75971073,7.95494756,14.82922071,8.08346904
98.00000000,1.12490912,2.23588949,7.51291707,14.69476537,7.94320393
106.00000000,1.17429056,2.17335878,7.58682278,15.01383789,8.52443658
114.00000000,1.18402392,1.91764526,7.47389128,15.07593219,8.61637933
122.00000000,1.22172010,1.82210281,7.46164633,15.31404065,8.74211343
130.00000000,1.22342375,1.62374568,7.30737899,15.32471440,8.79122433
138.00000000,1.14983773,1.04523743,6.77250883,14.85669527,7.96642223
146.00000000,1.06571179,0.65769065,6.39061181,14.30289081,7.30384147
154.00000000,1.03101825,0.56381435,6.29315089,14.06815402,7.15571441
162.00000000,0.94673896,0.61191123,6.22942801,13.48090544,7.18712940
170.00000000,0.88197754,0.71557580,6.17548474,13.01165980,7.17784897
178.00000000,0.98180722,0.67833944,6.17739217,13.72830906,7.84326925
186.00000000,1.17522903,1.11299524,6.64919804,15.01983608,9.07367531
194.00000000,1.11283412,0.75248741,6.32294899,14.61568430,8.12271658
202.00000000,1.00447813,0.39951933,5.97947388,13.88590469,7.30213638
210.00000000,0.91077081,0.34723026,5.87180219,13.22234513,7.14227224
218.00000000,0.77812184,0.33561514,5.61561267,12.22159081,7.19343076
226.00000000,0.77890146,0.75027556,5.82684015,12.22771185,7.50994327
234.00000000,0.72703700,0.81899606,5.71389342,11.81359814,6.99041055
242.00000000,0.66688151,0.81163592,5.34812680,11.31431523,7.12494633
250.00000000,0.76835562,1.46622674,5.74920317,12.14465199,7.93483369
258.00000000,0.67537339,0.85019438,5.04519267,11.38612401,7.19087597
266.00000000,0.64427027,0.74829310,4.91667764,11.12085001,6.27316060
274.00000000,0.71206373,1.43554843,5.59384375,11.69131521,6.33612882
282.00000000,0.94872781,2.68933063,6.85447558,13.49505789,7.35034493
290.00000000,1.00516103,2.69190109,6.86428088,13.89062409,7.98173454
298.00000000,1.20720927,3.62115398,7.80362989,15.22282370,9.55064152
306.00000000,0.94732634,2.21596931,6.40317304,13.48508669,7.98957187
314.00000000,1.39391760,4.41505919,8.61413866,16.35770939,10.22453062
322.00000000,1.09965919,2.50329988,6.71057175,14.52890861,8.75328026
330.00000000,1.13938722,2.57162467,6.78939711,14.78902726,9.10203631
338.00000000,1.21912732,1.90875935,6.13767252,15.29778203,9.64585519
346.00000000,1.24168209,1.50474913,5.74502773,15.43864371,9.78407790
354.00000000,1.12827378,1.16259768,5.41307057,14.71672536,8.55966134
362.00000000,1.10735769,1.36934903,5.62789517,14.57967687,8.68399257
370.00000000,1.06039934,1.34368779,5.60739738,14.26719712,8.65193468
378.00000000,1.04373546,1.26979194,5.53390710,14.15465065,8.78896489
386.00000000,1.02019259,1.09189756,5.35517308,13.99410149,8.72507768
394.00000000,1.05835211,1.02220323,5.27330553,14.25341820,8.83193771
402.00000000,1.14246059,1.08338146,5.30688208,14.80895967,9.41348973
410.00000000,1.13933347,0.87454951,5.08717815,14.78867838,9.37791513
