,strategy,var,coverage,accuracy,FER,healthy,onfire,burnt,runtime
ddrl_FN1,ddrl,1,0.3528054563453278,1.0,20.555555555555276,0.9224000000000002,0.022339999999999995,0.05526000000000001,9.773864567279816
ddrl_FN2,ddrl,2,0.16141489543494564,1.0,27.17500000000006,0.79714,0.07576000000000001,0.12710000000000002,9.686814820766449
ddrl_FN3,ddrl,3,0.1321657623883548,1.0,27.992592592592512,0.68688,0.11965999999999999,0.19346000000000002,9.61534696817398
ddrl_FN4,ddrl,4,0.10718216774269032,1.0,27.469444444444502,0.5900399999999999,0.1623,0.24766,9.685370123386383
ddrl_FN5,ddrl,5,0.09952117947283125,1.0,26.834444444444426,0.49897999999999987,0.20257999999999998,0.2984399999999999,9.880381381511688
heuristic_FN1,heuristic,1,0.2293636782841236,1.0,26.588888888888526,0.90068,0.03332,0.06600000000000002,5.188291561603546
heuristic_FN2,heuristic,2,0.1259796069418249,1.0,27.922222222222285,0.7917599999999998,0.07904,0.1292,5.102876722812653
heuristic_FN3,heuristic,3,0.10397225438363977,1.0,26.618518518518435,0.7017199999999999,0.11363999999999999,0.18464,5.179749631881714
heuristic_FN4,heuristic,4,0.08429568916616681,1.0,27.125000000000064,0.595,0.16178,0.24322,5.150166666507721
heuristic_FN5,heuristic,5,0.0779849582409852,1.0,26.24111111111109,0.5096599999999999,0.19098,0.29936,5.129945850372314
confentropy_FN1,confentropy,1,0.5187122324854364,0.9985077733658233,6.233333333333235,0.9739599999999999,0.00038,0.02566,995.1578170537948
confentropy_FN2,confentropy,2,0.22434013166454614,0.9835780748074805,14.025000000000034,0.8918200000000003,0.023340000000000003,0.08483999999999998,1358.3625465512275
confentropy_FN3,confentropy,3,0.13726040767341283,0.95871199119912,16.936213991769495,0.8062888888888889,0.05966666666666667,0.13404444444444447,1345.2280339797337
confentropy_FN4,confentropy,4,0.08122120848493507,0.9264417006406523,17.32189542483664,0.736164705882353,0.0911764705882353,0.17265882352941175,1372.0405457160052
confentropy_FN5,confentropy,5,0.06084388965727614,0.8965332556785091,19.541176470588226,0.6302588235294119,0.13945882352941177,0.2302823529411764,1510.4716782710132
